date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
2021-02-24,Melaka,0,0,0,0,0,0
2021-02-25,Melaka,0,0,0,0,0,0
2021-02-26,Melaka,259,0,259,259,0,259
2021-02-27,Melaka,16,0,16,275,0,275
2021-02-28,Melaka,0,0,0,275,0,275
2021-03-01,Melaka,158,0,158,433,0,433
2021-03-02,Melaka,1087,0,1087,1520,0,1520
2021-03-03,Melaka,1098,0,1098,2618,0,2618
2021-03-04,Melaka,989,0,989,3607,0,3607
2021-03-05,Melaka,573,0,573,4180,0,4180
2021-03-06,Melaka,0,0,0,4180,0,4180
2021-03-07,Melaka,0,0,0,4180,0,4180
2021-03-08,Melaka,99,0,99,4279,0,4279
2021-03-09,Melaka,954,0,954,5233,0,5233
2021-03-10,Melaka,894,0,894,6127,0,6127
2021-03-11,Melaka,869,0,869,6996,0,6996
2021-03-12,Melaka,607,0,607,7603,0,7603
2021-03-13,Melaka,230,0,230,7833,0,7833
2021-03-14,Melaka,0,0,0,7833,0,7833
2021-03-15,Melaka,288,0,288,8121,0,8121
2021-03-16,Melaka,835,0,835,8956,0,8956
2021-03-17,Melaka,798,0,798,9754,0,9754
2021-03-18,Melaka,589,30,619,10343,30,10373
2021-03-19,Melaka,173,157,330,10516,187,10703
2021-03-20,Melaka,0,0,0,10516,187,10703
2021-03-21,Melaka,0,0,0,10516,187,10703
2021-03-22,Melaka,11,180,191,10527,367,10894
2021-03-23,Melaka,147,1079,1226,10674,1446,12120
2021-03-24,Melaka,219,1103,1322,10893,2549,13442
2021-03-25,Melaka,153,1000,1153,11046,3549,14595
2021-03-26,Melaka,143,572,715,11189,4121,15310
2021-03-27,Melaka,306,0,306,11495,4121,15616
2021-03-28,Melaka,305,0,305,11800,4121,15921
2021-03-29,Melaka,25,96,121,11825,4217,16042
2021-03-30,Melaka,326,915,1241,12151,5132,17283
2021-03-31,Melaka,722,897,1619,12873,6029,18902
2021-04-01,Melaka,852,833,1685,13725,6862,20587
2021-04-02,Melaka,767,627,1394,14492,7489,21981
2021-04-03,Melaka,108,228,336,14600,7717,22317
2021-04-04,Melaka,0,0,0,14600,7717,22317
2021-04-05,Melaka,252,315,567,14852,8032,22884
2021-04-06,Melaka,232,841,1073,15084,8873,23957
2021-04-07,Melaka,612,795,1407,15696,9668,25364
2021-04-08,Melaka,510,567,1077,16206,10235,26441
2021-04-09,Melaka,325,189,514,16531,10424,26955
2021-04-10,Melaka,207,0,207,16738,10424,27162
2021-04-11,Melaka,0,0,0,16738,10424,27162
2021-04-12,Melaka,713,46,759,17451,10470,27921
2021-04-13,Melaka,0,0,0,17451,10470,27921
2021-04-14,Melaka,1447,266,1713,18898,10736,29634
2021-04-15,Melaka,0,0,0,18898,10736,29634
2021-04-16,Melaka,1882,356,2238,20780,11092,31872
2021-04-17,Melaka,743,304,1047,21523,11396,32919
2021-04-18,Melaka,9,297,306,21532,11693,33225
2021-04-19,Melaka,1546,41,1587,23078,11734,34812
2021-04-20,Melaka,1222,317,1539,24300,12051,36351
2021-04-21,Melaka,896,715,1611,25196,12766,37962
2021-04-22,Melaka,802,817,1619,25998,13583,39581
2021-04-23,Melaka,894,757,1651,26892,14340,41232
2021-04-24,Melaka,373,0,373,27265,14340,41605
2021-04-25,Melaka,0,0,0,27265,14340,41605
2021-04-26,Melaka,613,101,714,27878,14441,42319
2021-04-27,Melaka,719,170,889,28597,14611,43208
2021-04-28,Melaka,845,659,1504,29442,15270,44712
2021-04-29,Melaka,861,626,1487,30303,15896,46199
2021-04-30,Melaka,949,467,1416,31252,16363,47615
2021-05-01,Melaka,0,0,0,31252,16363,47615
2021-05-02,Melaka,0,0,0,31252,16363,47615
2021-05-03,Melaka,832,698,1530,32084,17061,49145
2021-05-04,Melaka,936,201,1137,33020,17262,50282
2021-05-05,Melaka,651,1429,2080,33671,18691,52362
2021-05-06,Melaka,889,15,904,34560,18706,53266
2021-05-07,Melaka,508,2105,2613,35068,20811,55879
2021-05-08,Melaka,375,435,810,35443,21246,56689
2021-05-09,Melaka,0,0,0,35443,21246,56689
2021-05-10,Melaka,1053,1395,2448,36496,22641,59137
2021-05-11,Melaka,470,1089,1559,36966,23730,60696
2021-05-12,Melaka,32,563,595,36998,24293,61291
2021-05-13,Melaka,0,0,0,36998,24293,61291
2021-05-14,Melaka,0,0,0,36998,24293,61291
2021-05-15,Melaka,0,0,0,36998,24293,61291
2021-05-16,Melaka,0,0,0,36998,24293,61291
2021-05-17,Melaka,35,1292,1327,37033,25585,62618
2021-05-18,Melaka,160,1611,1771,37193,27196,64389
2021-05-19,Melaka,269,1368,1637,37462,28564,66026
2021-05-20,Melaka,635,1019,1654,38097,29583,67680
2021-05-21,Melaka,693,1089,1782,38790,30672,69462
2021-05-22,Melaka,507,0,507,39297,30672,69969
2021-05-23,Melaka,1,0,1,39298,30672,69970
2021-05-24,Melaka,1285,805,2090,40583,31477,72060
2021-05-25,Melaka,1268,931,2199,41851,32408,74259
2021-05-26,Melaka,1,24,25,41852,32432,74284
2021-05-27,Melaka,1200,1429,2629,43052,33861,76913
2021-05-28,Melaka,1922,626,2548,44974,34487,79461
2021-05-29,Melaka,931,358,1289,45905,34845,80750
2021-05-30,Melaka,0,0,0,45905,34845,80750
2021-05-31,Melaka,1509,1039,2548,47414,35884,83298
2021-06-01,Melaka,2360,506,2866,49774,36390,86164
2021-06-02,Melaka,2930,44,2974,52704,36434,89138
2021-06-03,Melaka,3724,7,3731,56428,36441,92869
2021-06-04,Melaka,3533,10,3543,59961,36451,96412
2021-06-05,Melaka,2154,1,2155,62115,36452,98567
2021-06-06,Melaka,0,0,0,62115,36452,98567
2021-06-07,Melaka,0,0,0,62115,36452,98567
2021-06-08,Melaka,3526,199,3725,65641,36651,102292
2021-06-09,Melaka,3586,321,3907,69227,36972,106199
2021-06-10,Melaka,2395,621,3016,71622,37593,109215
2021-06-11,Melaka,2186,684,2870,73808,38277,112085
2021-06-12,Melaka,2034,503,2537,75842,38780,114622
2021-06-13,Melaka,0,0,0,75842,38780,114622
2021-06-14,Melaka,1610,1280,2890,77452,40060,117512
2021-06-15,Melaka,2068,1260,3328,79520,41320,120840
2021-06-16,Melaka,5161,15,5176,84681,41335,126016
2021-06-17,Melaka,4942,1194,6136,89623,42529,132152
2021-06-18,Melaka,4660,1898,6558,94283,44427,138710
2021-06-19,Melaka,5045,928,5973,99328,45355,144683
2021-06-20,Melaka,2,0,2,99330,45355,144685
2021-06-21,Melaka,4934,1482,6416,104264,46837,151101
2021-06-22,Melaka,4552,2319,6871,108816,49156,157972
2021-06-23,Melaka,4269,2902,7171,113085,52058,165143
2021-06-24,Melaka,4629,3691,8320,117714,55749,173463
2021-06-25,Melaka,5645,3474,9119,123359,59223,182582
2021-06-26,Melaka,5646,2126,7772,129005,61349,190354
2021-06-27,Melaka,599,0,599,129604,61349,190953
2021-06-28,Melaka,3066,0,3066,132670,61349,194019
2021-06-29,Melaka,3092,3438,6530,135762,64787,200549
2021-06-30,Melaka,4820,3524,8344,140582,68311,208893
2021-07-01,Melaka,5480,2280,7760,146062,70591,216653
2021-07-02,Melaka,5758,2093,7851,151820,72684,224504
