date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
2021-02-24,Sabah,0,0,0,0,0,0
2021-02-25,Sabah,0,0,0,0,0,0
2021-02-26,Sabah,12,0,12,12,0,12
2021-02-27,Sabah,560,0,560,572,0,572
2021-02-28,Sabah,463,0,463,1035,0,1035
2021-03-01,Sabah,119,0,119,1154,0,1154
2021-03-02,Sabah,364,1,365,1518,1,1519
2021-03-03,Sabah,297,1,298,1815,2,1817
2021-03-04,Sabah,1728,4,1732,3543,6,3549
2021-03-05,Sabah,3059,0,3059,6602,6,6608
2021-03-06,Sabah,3919,0,3919,10521,6,10527
2021-03-07,Sabah,2356,0,2356,12877,6,12883
2021-03-08,Sabah,1755,0,1755,14632,6,14638
2021-03-09,Sabah,2879,0,2879,17511,6,17517
2021-03-10,Sabah,2763,1,2764,20274,7,20281
2021-03-11,Sabah,1840,0,1840,22114,7,22121
2021-03-12,Sabah,1301,0,1301,23415,7,23422
2021-03-13,Sabah,2547,0,2547,25962,7,25969
2021-03-14,Sabah,2522,0,2522,28484,7,28491
2021-03-15,Sabah,4144,0,4144,32628,7,32635
2021-03-16,Sabah,3587,1,3588,36215,8,36223
2021-03-17,Sabah,2514,0,2514,38729,8,38737
2021-03-18,Sabah,2022,0,2022,40751,8,40759
2021-03-19,Sabah,986,0,986,41737,8,41745
2021-03-20,Sabah,872,525,1397,42609,533,43142
2021-03-21,Sabah,35,299,334,42644,832,43476
2021-03-22,Sabah,675,277,952,43319,1109,44428
2021-03-23,Sabah,283,364,647,43602,1473,45075
2021-03-24,Sabah,290,271,561,43892,1744,45636
2021-03-25,Sabah,323,1424,1747,44215,3168,47383
2021-03-26,Sabah,29,2375,2404,44244,5543,49787
2021-03-27,Sabah,275,3396,3671,44519,8939,53458
2021-03-28,Sabah,15,2659,2674,44534,11598,56132
2021-03-29,Sabah,181,2893,3074,44715,14491,59206
2021-03-30,Sabah,380,2855,3235,45095,17346,62441
2021-03-31,Sabah,327,2623,2950,45422,19969,65391
2021-04-01,Sabah,848,1426,2274,46270,21395,67665
2021-04-02,Sabah,179,1282,1461,46449,22677,69126
2021-04-03,Sabah,255,2194,2449,46704,24871,71575
2021-04-04,Sabah,118,1826,1944,46822,26697,73519
2021-04-05,Sabah,509,3633,4142,47331,30330,77661
2021-04-06,Sabah,2153,3675,5828,49484,34005,83489
2021-04-07,Sabah,1715,3141,4856,51199,37146,88345
2021-04-08,Sabah,1408,2132,3540,52607,39278,91885
2021-04-09,Sabah,1538,1072,2610,54145,40350,94495
2021-04-10,Sabah,199,867,1066,54344,41217,95561
2021-04-11,Sabah,12,238,250,54356,41455,95811
2021-04-12,Sabah,241,682,923,54597,42137,96734
2021-04-13,Sabah,225,395,620,54822,42532,97354
2021-04-14,Sabah,532,305,837,55354,42837,98191
2021-04-15,Sabah,385,323,708,55739,43160,98899
2021-04-16,Sabah,422,60,482,56161,43220,99381
2021-04-17,Sabah,28,235,263,56189,43455,99644
2021-04-18,Sabah,13,36,49,56202,43491,99693
2021-04-19,Sabah,1972,148,2120,58174,43639,101813
2021-04-20,Sabah,2455,289,2744,60629,43928,104557
2021-04-21,Sabah,2372,263,2635,63001,44191,107192
2021-04-22,Sabah,1821,806,2627,64822,44997,109819
2021-04-23,Sabah,1118,256,1374,65940,45253,111193
2021-04-24,Sabah,508,349,857,66448,45602,112050
2021-04-25,Sabah,192,0,192,66640,45602,112242
2021-04-26,Sabah,834,432,1266,67474,46034,113508
2021-04-27,Sabah,1105,1804,2909,68579,47838,116417
2021-04-28,Sabah,1941,1426,3367,70520,49264,119784
2021-04-29,Sabah,1525,1177,2702,72045,50441,122486
2021-04-30,Sabah,1358,1917,3275,73403,52358,125761
2021-05-01,Sabah,1337,199,1536,74740,52557,127297
2021-05-02,Sabah,1171,10,1181,75911,52567,128478
2021-05-03,Sabah,1464,529,1993,77375,53096,130471
2021-05-04,Sabah,2001,227,2228,79376,53323,132699
2021-05-05,Sabah,2723,539,3262,82099,53862,135961
2021-05-06,Sabah,2689,393,3082,84788,54255,139043
2021-05-07,Sabah,2595,451,3046,87383,54706,142089
2021-05-08,Sabah,2079,37,2116,89462,54743,144205
2021-05-09,Sabah,815,0,815,90277,54743,145020
2021-05-10,Sabah,1213,1541,2754,91490,56284,147774
2021-05-11,Sabah,1387,1776,3163,92877,58060,150937
2021-05-12,Sabah,805,1579,2384,93682,59639,153321
2021-05-13,Sabah,0,0,0,93682,59639,153321
2021-05-14,Sabah,0,0,0,93682,59639,153321
2021-05-15,Sabah,1,0,1,93683,59639,153322
2021-05-16,Sabah,0,0,0,93683,59639,153322
2021-05-17,Sabah,1797,1802,3599,95480,61441,156921
2021-05-18,Sabah,2744,1518,4262,98224,62959,161183
2021-05-19,Sabah,3630,1508,5138,101854,64467,166321
2021-05-20,Sabah,3912,2187,6099,105766,66654,172420
2021-05-21,Sabah,3065,1733,4798,108831,68387,177218
2021-05-22,Sabah,2180,1444,3624,111011,69831,180842
2021-05-23,Sabah,888,1227,2115,111899,71058,182957
2021-05-24,Sabah,3224,1743,4967,115123,72801,187924
2021-05-25,Sabah,4430,2067,6497,119553,74868,194421
2021-05-26,Sabah,1288,808,2096,120841,75676,196517
2021-05-27,Sabah,4818,3058,7876,125659,78734,204393
2021-05-28,Sabah,4976,2767,7743,130635,81501,212136
2021-05-29,Sabah,4262,2179,6441,134897,83680,218577
2021-05-30,Sabah,1324,982,2306,136221,84662,220883
2021-05-31,Sabah,998,470,1468,137219,85132,222351
2021-06-01,Sabah,1477,944,2421,138696,86076,224772
2021-06-02,Sabah,5864,2312,8176,144560,88388,232948
2021-06-03,Sabah,8340,1433,9773,152900,89821,242721
2021-06-04,Sabah,9914,841,10755,162814,90662,253476
2021-06-05,Sabah,8911,452,9363,171725,91114,262839
2021-06-06,Sabah,7396,29,7425,179121,91143,270264
2021-06-07,Sabah,6717,819,7536,185838,91962,277800
2021-06-08,Sabah,8466,3417,11883,194304,95379,289683
2021-06-09,Sabah,9772,3531,13303,204076,98910,302986
2021-06-10,Sabah,9776,3789,13565,213852,102699,316551
2021-06-11,Sabah,10312,3021,13333,224164,105720,329884
2021-06-12,Sabah,11525,2011,13536,235689,107731,343420
2021-06-13,Sabah,8284,1210,9494,243973,108941,352914
2021-06-14,Sabah,10366,3173,13539,254339,112114,366453
2021-06-15,Sabah,12662,4252,16914,267001,116366,383367
2021-06-16,Sabah,15797,1874,17671,282798,118240,401038
2021-06-17,Sabah,12006,4477,16483,294804,122717,417521
2021-06-18,Sabah,10776,5121,15897,305580,127838,433418
2021-06-19,Sabah,11301,4128,15429,316881,131966,448847
2021-06-20,Sabah,6469,1060,7529,323350,133026,456376
2021-06-21,Sabah,8957,1131,10088,332307,134157,466464
2021-06-22,Sabah,9695,1303,10998,342002,135460,477462
2021-06-23,Sabah,7908,5534,13442,349910,140994,490904
2021-06-24,Sabah,7126,7940,15066,357036,148934,505970
2021-06-25,Sabah,6646,9174,15820,363682,158108,521790
2021-06-26,Sabah,5365,8909,14274,369047,167017,536064
2021-06-27,Sabah,3374,6684,10058,372421,173701,546122
2021-06-28,Sabah,2846,7124,9970,375267,180825,556092
2021-06-29,Sabah,3352,7865,11217,378619,188690,567309
2021-06-30,Sabah,2546,8907,11453,381165,197597,578762
