date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
2021-02-24,W.P. Putrajaya,18,0,18,18,0,18
2021-02-25,W.P. Putrajaya,54,0,54,72,0,72
2021-02-26,W.P. Putrajaya,19,0,19,91,0,91
2021-02-27,W.P. Putrajaya,6,0,6,97,0,97
2021-02-28,W.P. Putrajaya,1,0,1,98,0,98
2021-03-01,W.P. Putrajaya,442,0,442,540,0,540
2021-03-02,W.P. Putrajaya,484,0,484,1024,0,1024
2021-03-03,W.P. Putrajaya,481,0,481,1505,0,1505
2021-03-04,W.P. Putrajaya,548,0,548,2053,0,2053
2021-03-05,W.P. Putrajaya,236,0,236,2289,0,2289
2021-03-06,W.P. Putrajaya,0,0,0,2289,0,2289
2021-03-07,W.P. Putrajaya,0,0,0,2289,0,2289
2021-03-08,W.P. Putrajaya,283,0,283,2572,0,2572
2021-03-09,W.P. Putrajaya,368,0,368,2940,0,2940
2021-03-10,W.P. Putrajaya,396,0,396,3336,0,3336
2021-03-11,W.P. Putrajaya,397,0,397,3733,0,3733
2021-03-12,W.P. Putrajaya,93,0,93,3826,0,3826
2021-03-13,W.P. Putrajaya,0,0,0,3826,0,3826
2021-03-14,W.P. Putrajaya,0,0,0,3826,0,3826
2021-03-15,W.P. Putrajaya,342,0,342,4168,0,4168
2021-03-16,W.P. Putrajaya,218,0,218,4386,0,4386
2021-03-17,W.P. Putrajaya,210,18,228,4596,18,4614
2021-03-18,W.P. Putrajaya,8,53,61,4604,71,4675
2021-03-19,W.P. Putrajaya,0,19,19,4604,90,4694
2021-03-20,W.P. Putrajaya,0,0,0,4604,90,4694
2021-03-21,W.P. Putrajaya,0,0,0,4604,90,4694
2021-03-22,W.P. Putrajaya,4,434,438,4608,524,5132
2021-03-23,W.P. Putrajaya,7,472,479,4615,996,5611
2021-03-24,W.P. Putrajaya,9,479,488,4624,1475,6099
2021-03-25,W.P. Putrajaya,1,541,542,4625,2016,6641
2021-03-26,W.P. Putrajaya,120,234,354,4745,2250,6995
2021-03-27,W.P. Putrajaya,0,0,0,4745,2250,6995
2021-03-28,W.P. Putrajaya,0,0,0,4745,2250,6995
2021-03-29,W.P. Putrajaya,118,286,404,4863,2536,7399
2021-03-30,W.P. Putrajaya,4,365,369,4867,2901,7768
2021-03-31,W.P. Putrajaya,6,401,407,4873,3302,8175
2021-04-01,W.P. Putrajaya,359,387,746,5232,3689,8921
2021-04-02,W.P. Putrajaya,187,91,278,5419,3780,9199
2021-04-03,W.P. Putrajaya,0,0,0,5419,3780,9199
2021-04-04,W.P. Putrajaya,1,0,1,5420,3780,9200
2021-04-05,W.P. Putrajaya,263,341,604,5683,4121,9804
2021-04-06,W.P. Putrajaya,218,210,428,5901,4331,10232
2021-04-07,W.P. Putrajaya,305,210,515,6206,4541,10747
2021-04-08,W.P. Putrajaya,563,6,569,6769,4547,11316
2021-04-09,W.P. Putrajaya,455,0,455,7224,4547,11771
2021-04-10,W.P. Putrajaya,0,0,0,7224,4547,11771
2021-04-11,W.P. Putrajaya,0,0,0,7224,4547,11771
2021-04-12,W.P. Putrajaya,220,3,223,7444,4550,11994
2021-04-13,W.P. Putrajaya,0,7,7,7444,4557,12001
2021-04-14,W.P. Putrajaya,0,6,6,7444,4563,12007
2021-04-15,W.P. Putrajaya,372,0,372,7816,4563,12379
2021-04-16,W.P. Putrajaya,332,137,469,8148,4700,12848
2021-04-17,W.P. Putrajaya,0,1,1,8148,4701,12849
2021-04-18,W.P. Putrajaya,0,1,1,8148,4702,12850
2021-04-19,W.P. Putrajaya,380,109,489,8528,4811,13339
2021-04-20,W.P. Putrajaya,0,0,0,8528,4811,13339
2021-04-21,W.P. Putrajaya,13,6,19,8541,4817,13358
2021-04-22,W.P. Putrajaya,6,354,360,8547,5171,13718
2021-04-23,W.P. Putrajaya,6,190,196,8553,5361,13914
2021-04-24,W.P. Putrajaya,0,0,0,8553,5361,13914
2021-04-25,W.P. Putrajaya,0,0,0,8553,5361,13914
2021-04-26,W.P. Putrajaya,1,252,253,8554,5613,14167
2021-04-27,W.P. Putrajaya,93,211,304,8647,5824,14471
2021-04-28,W.P. Putrajaya,333,482,815,8980,6306,15286
2021-04-29,W.P. Putrajaya,0,0,0,8980,6306,15286
2021-04-30,W.P. Putrajaya,0,390,390,8980,6696,15676
2021-05-01,W.P. Putrajaya,0,0,0,8980,6696,15676
2021-05-02,W.P. Putrajaya,0,0,0,8980,6696,15676
2021-05-03,W.P. Putrajaya,747,641,1388,9727,7337,17064
2021-05-04,W.P. Putrajaya,443,2,445,10170,7339,17509
2021-05-05,W.P. Putrajaya,457,3,460,10627,7342,17969
2021-05-06,W.P. Putrajaya,536,364,900,11163,7706,18869
2021-05-07,W.P. Putrajaya,539,288,827,11702,7994,19696
2021-05-08,W.P. Putrajaya,1,0,1,11703,7994,19697
2021-05-09,W.P. Putrajaya,0,0,0,11703,7994,19697
2021-05-10,W.P. Putrajaya,562,434,996,12265,8428,20693
2021-05-11,W.P. Putrajaya,730,6,736,12995,8434,21429
2021-05-12,W.P. Putrajaya,278,4,282,13273,8438,21711
2021-05-13,W.P. Putrajaya,0,0,0,13273,8438,21711
2021-05-14,W.P. Putrajaya,0,0,0,13273,8438,21711
2021-05-15,W.P. Putrajaya,0,0,0,13273,8438,21711
2021-05-16,W.P. Putrajaya,0,0,0,13273,8438,21711
2021-05-17,W.P. Putrajaya,452,5,457,13725,8443,22168
2021-05-18,W.P. Putrajaya,801,92,893,14526,8535,23061
2021-05-19,W.P. Putrajaya,881,340,1221,15407,8875,24282
2021-05-20,W.P. Putrajaya,1217,0,1217,16624,8875,25499
2021-05-21,W.P. Putrajaya,1164,1,1165,17788,8876,26664
2021-05-22,W.P. Putrajaya,0,0,0,17788,8876,26664
2021-05-23,W.P. Putrajaya,0,0,0,17788,8876,26664
2021-05-24,W.P. Putrajaya,844,41,885,18632,8917,27549
2021-05-25,W.P. Putrajaya,830,435,1265,19462,9352,28814
2021-05-26,W.P. Putrajaya,0,0,0,19462,9352,28814
2021-05-27,W.P. Putrajaya,567,845,1412,20029,10197,30226
2021-05-28,W.P. Putrajaya,935,638,1573,20964,10835,31799
2021-05-29,W.P. Putrajaya,0,0,0,20964,10835,31799
2021-05-30,W.P. Putrajaya,0,0,0,20964,10835,31799
2021-05-31,W.P. Putrajaya,787,567,1354,21751,11402,33153
2021-06-01,W.P. Putrajaya,806,721,1527,22557,12123,34680
2021-06-02,W.P. Putrajaya,1397,280,1677,23954,12403,36357
2021-06-03,W.P. Putrajaya,1425,7,1432,25379,12410,37789
2021-06-04,W.P. Putrajaya,1377,11,1388,26756,12421,39177
2021-06-05,W.P. Putrajaya,1,0,1,26757,12421,39178
2021-06-06,W.P. Putrajaya,0,0,0,26757,12421,39178
2021-06-07,W.P. Putrajaya,742,0,742,27499,12421,39920
2021-06-08,W.P. Putrajaya,388,1144,1532,27887,13565,41452
2021-06-09,W.P. Putrajaya,555,867,1422,28442,14432,42874
2021-06-10,W.P. Putrajaya,443,1200,1643,28885,15632,44517
2021-06-11,W.P. Putrajaya,398,1165,1563,29283,16797,46080
2021-06-12,W.P. Putrajaya,0,1,1,29283,16798,46081
2021-06-13,W.P. Putrajaya,0,0,0,29283,16798,46081
2021-06-14,W.P. Putrajaya,439,940,1379,29722,17738,47460
2021-06-15,W.P. Putrajaya,729,830,1559,30451,18568,49019
2021-06-16,W.P. Putrajaya,1198,5,1203,31649,18573,50222
2021-06-17,W.P. Putrajaya,918,573,1491,32567,19146,51713
2021-06-18,W.P. Putrajaya,705,927,1632,33272,20073,53345
2021-06-19,W.P. Putrajaya,0,0,0,33272,20073,53345
2021-06-20,W.P. Putrajaya,0,0,0,33272,20073,53345
2021-06-21,W.P. Putrajaya,808,788,1596,34080,20861,54941
2021-06-22,W.P. Putrajaya,941,811,1752,35021,21672,56693
2021-06-23,W.P. Putrajaya,454,1285,1739,35475,22957,58432
2021-06-24,W.P. Putrajaya,421,1503,1924,35896,24460,60356
2021-06-25,W.P. Putrajaya,383,1365,1748,36279,25825,62104
2021-06-26,W.P. Putrajaya,0,0,0,36279,25825,62104
2021-06-27,W.P. Putrajaya,0,0,0,36279,25825,62104
2021-06-28,W.P. Putrajaya,514,745,1259,36793,26570,63363
2021-06-29,W.P. Putrajaya,1163,385,1548,37956,26955,64911
2021-06-30,W.P. Putrajaya,1156,560,1716,39112,27515,66627
2021-07-01,W.P. Putrajaya,1296,435,1731,40408,27950,68358
2021-07-02,W.P. Putrajaya,1380,401,1781,41788,28351,70139
